timestep,success_rate,mean_vz,std_vz,mean_tau_error
20000,0.0000,12.4364,2.2699,2.9802
40000,0.0000,11.9211,2.1049,2.8930
60000,0.0000,11.7350,2.4948,2.9649
80000,0.0000,11.3212,1.7449,2.8743
100000,0.0000,10.9532,1.5304,2.8750
120000,0.0000,10.5693,2.1088,2.9164
140000,0.0000,10.4653,1.7774,2.6744
160000,0.0000,9.5325,1.9372,2.8237
180000,0.0000,8.5447,1.7739,2.6446
200000,0.0000,8.4047,1.7513,2.6092
220000,0.0000,7.5998,1.3668,2.5195
240000,0.0000,7.5893,1.3564,2.1995
260000,0.0000,6.7738,1.3581,2.1308
280000,0.0000,6.0048,1.0071,2.0698
300000,0.0000,4.8776,0.7508,2.0939
320000,0.0000,4.1663,0.6524,1.8684
340000,0.1000,3.5414,0.3331,1.6897
360000,0.2500,3.0494,0.4170,1.5555
380000,0.6500,2.7059,0.3334,1.4227
400000,0.5500,2.7363,0.4684,1.4580
420000,0.8500,2.1778,0.3562,1.3727
440000,0.9500,1.9816,0.3592,1.2954
460000,1.0000,1.6732,0.3043,1.2123
480000,0.9000,1.4971,0.2997,1.2168
500000,0.9000,1.3045,0.4205,1.3064
520000,1.0000,0.9660,0.0869,1.1668
540000,0.9500,0.9501,0.3169,1.2444
560000,1.0000,0.7586,0.2144,1.3134
580000,1.0000,0.5975,0.0607,1.3482
600000,1.0000,0.4219,0.1896,1.3628
620000,0.9500,0.4350,0.2108,1.4804
640000,1.0000,0.3234,0.0633,1.4620
660000,1.0000,0.3582,0.0429,1.5461
680000,1.0000,0.3595,0.0573,1.5152
700000,1.0000,0.3751,0.0936,1.5160
720000,1.0000,0.3727,0.0790,1.4024
740000,1.0000,0.2730,0.0489,1.6249
760000,1.0000,0.3286,0.0649,1.5709
780000,1.0000,0.3595,0.0700,1.6545
800000,1.0000,0.3184,0.0666,1.7662
820000,1.0000,0.1910,0.0476,1.5461
840000,1.0000,0.3813,0.0646,1.5678
860000,1.0000,0.3051,0.0694,1.5409
880000,1.0000,0.2662,0.0663,1.5449
900000,1.0000,0.1766,0.0244,1.5065
920000,1.0000,0.2399,0.0454,1.6621
940000,1.0000,0.2333,0.0842,1.6849
960000,1.0000,0.2956,0.0527,1.6245
980000,1.0000,0.1600,0.0376,1.5978
1000000,1.0000,0.2383,0.0485,1.5744
