timestep,success_rate,mean_vz,std_vz,mean_tau_error
20000,0.0000,12.1690,2.3072,2.9053
40000,0.0000,11.9399,2.1523,3.0143
60000,0.0000,11.2537,2.0791,3.0729
80000,0.0000,12.0953,1.6022,2.8112
100000,0.0000,11.5160,2.1987,2.7654
120000,0.0000,11.3322,2.2111,2.9138
140000,0.0000,10.4220,1.6767,2.8212
160000,0.0000,9.6743,1.7904,2.7847
180000,0.0000,9.1710,1.8687,2.7451
200000,0.0000,9.4581,1.6589,2.4611
220000,0.0000,8.9626,1.4149,2.5559
240000,0.0000,8.3381,1.4168,2.3759
260000,0.0000,7.6300,1.2405,2.4551
280000,0.0000,6.6058,1.0895,2.2940
300000,0.0000,6.9003,1.0825,2.1790
320000,0.0000,5.8971,0.9599,2.0279
340000,0.0000,5.3665,0.8665,2.0014
360000,0.0000,4.9791,0.7299,1.9684
380000,0.0000,4.3293,0.6431,1.8080
400000,0.0000,3.8612,0.5577,1.9722
420000,0.1500,3.4511,0.3728,1.6731
440000,0.3500,3.1019,0.2127,1.6715
460000,0.4500,2.8428,0.2029,1.6897
480000,0.9500,2.5521,0.0758,1.5974
500000,0.9500,2.3876,0.1386,1.4517
