agent,seed,wind_force,success_rate,mean_vz,n_episodes
baseline,0,0.0,1.0,0.8329764604568481,50
baseline,0,0.5,1.0,0.8234032988548279,50
baseline,0,1.0,1.0,0.8216338157653809,50
baseline,0,1.5,1.0,0.827217161655426,50
baseline,0,2.0,1.0,0.8325462341308594,50
baseline,1,0.0,1.0,0.5632533431053162,50
baseline,1,0.5,1.0,0.5421444773674011,50
baseline,1,1.0,1.0,0.5583235621452332,50
baseline,1,1.5,1.0,0.5535024404525757,50
baseline,1,2.0,1.0,0.5583927631378174,50
baseline,2,0.0,0.98,0.21185711026191711,50
baseline,2,0.5,0.98,0.2310623675584793,50
baseline,2,1.0,1.0,0.19834908843040466,50
baseline,2,1.5,1.0,0.21541562676429749,50
baseline,2,2.0,0.98,0.24866566061973572,50
tau,0,0.0,1.0,0.22071720659732819,50
tau,0,0.5,0.98,0.23354297876358032,50
tau,0,1.0,1.0,0.2406102418899536,50
tau,0,1.5,1.0,0.21867793798446655,50
tau,0,2.0,1.0,0.23437194526195526,50
tau,1,0.0,1.0,0.3388647139072418,50
tau,1,0.5,1.0,0.33965766429901123,50
tau,1,1.0,1.0,0.3380559980869293,50
tau,1,1.5,1.0,0.3322750926017761,50
tau,1,2.0,1.0,0.338753342628479,50
tau,2,0.0,1.0,0.29823145270347595,50
tau,2,0.5,1.0,0.30425265431404114,50
tau,2,1.0,0.98,0.30752819776535034,50
tau,2,1.5,0.98,0.3168353736400604,50
tau,2,2.0,0.98,0.3012698292732239,50
